"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"beamer-automation","Automate Beamer tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/beamer-automation/SKILL.md"
"beeminder-automation","Automate Beeminder tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/beeminder-automation/SKILL.md"
"bench-automation","Automate Bench tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bench-automation/SKILL.md"
"benchmark-email-automation","Automate Benchmark Email tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/benchmark-email-automation/SKILL.md"
"benzinga-automation","Automate Benzinga tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/benzinga-automation/SKILL.md"
"bestbuy-automation","Automate Bestbuy tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bestbuy-automation/SKILL.md"
"better-proposals-automation","Automate Better Proposals tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/better-proposals-automation/SKILL.md"
"better-stack-automation","Automate Better Stack tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/better-stack-automation/SKILL.md"
"bidsketch-automation","Automate Bidsketch tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bidsketch-automation/SKILL.md"
"big-data-cloud-automation","Automate Big Data Cloud tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/big-data-cloud-automation/SKILL.md"
"bigmailer-automation","Automate Bigmailer tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bigmailer-automation/SKILL.md"
"bigml-automation","Automate Bigml tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bigml-automation/SKILL.md"
"bigpicture-io-automation","Automate Bigpicture IO tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bigpicture-io-automation/SKILL.md"
"bitquery-automation","Automate Bitquery tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bitquery-automation/SKILL.md"
"bitwarden-automation","Automate Bitwarden tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Security & compliance","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bitwarden-automation/SKILL.md"
"blackbaud-automation","Automate Blackbaud tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/blackbaud-automation/SKILL.md"
"blackboard-automation","Automate Blackboard tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/blackboard-automation/SKILL.md"
"blocknative-automation","Automate Blocknative tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/blocknative-automation/SKILL.md"
"boldsign-automation","Automate Boldsign tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/boldsign-automation/SKILL.md"
"bolna-automation","Automate Bolna tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bolna-automation/SKILL.md"
"boloforms-automation","Automate Boloforms tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/boloforms-automation/SKILL.md"
"bolt-iot-automation","Automate Bolt Iot tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bolt-iot-automation/SKILL.md"
"bonsai-automation","Automate Bonsai tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bonsai-automation/SKILL.md"
"bookingmood-automation","Automate Bookingmood tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bookingmood-automation/SKILL.md"
"booqable-automation","Automate Booqable tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/booqable-automation/SKILL.md"
"borneo-automation","Automate Borneo tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/borneo-automation/SKILL.md"
"botbaba-automation","Automate Botbaba tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/botbaba-automation/SKILL.md"
"botpress-automation","Automate Botpress tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/botpress-automation/SKILL.md"
"botsonic-automation","Automate Botsonic tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/botsonic-automation/SKILL.md"
"botstar-automation","Automate Botstar tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/botstar-automation/SKILL.md"
"bouncer-automation","Automate Bouncer tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bouncer-automation/SKILL.md"
"boxhero-automation","Automate Boxhero tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Preserve canonical artifacts and confirm exact targets before moves, overwrites, or deletion.","Codex skill","C:/Users/dasil/.codex/skills/boxhero-automation/SKILL.md"
"Braintree Automation","Braintree Automation: manage payment processing via Stripe-compatible tools for customers, subscriptions, payment methods, and transactions","Peripheral","Potentially support bankroll, market, or accounting workflows outside the core pack. Keep trading actions and monetary execution separate from Outlier recommendations.","Finance & trading","May touch money or external accounts; use read-only analysis unless execution is explicitly authorized.","Codex skill","C:/Users/dasil/.codex/skills/braintree-automation/SKILL.md"
"brand-guidelines","Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply.","Peripheral","Support research, summarization, or model-assisted review around Outlier. Never invoke paid/live desk reasoning unless the current user explicitly authorizes it.","Media & design","Paid/live model calls may require explicit per-turn authorization; default to offline/native analysis.","Codex skill","C:/Users/dasil/.codex/skills/brand-guidelines/SKILL.md"
"brandfetch-automation","Automate Brandfetch tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Media & design","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brandfetch-automation/SKILL.md"
"breeze-automation","Automate Breeze tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/breeze-automation/SKILL.md"
"breezy-hr-automation","Automate Breezy HR tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/breezy-hr-automation/SKILL.md"
"brex-automation","Automate Brex tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Finance & trading","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brex-automation/SKILL.md"
"brex-staging-automation","Automate Brex Staging tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Finance & trading","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brex-staging-automation/SKILL.md"
"brightdata-automation","Automate Brightdata tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brightdata-automation/SKILL.md"
"brightpearl-automation","Automate Brightpearl tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brightpearl-automation/SKILL.md"
"brilliant-directories-automation","Automate Brilliant Directories tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/brilliant-directories-automation/SKILL.md"
"browseai-automation","Automate Browseai tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/browseai-automation/SKILL.md"
"browser-tool-automation","Automate Browser Tool tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/browser-tool-automation/SKILL.md"
"browser:control-in-app-browser","Control the in-app Browser for opening, navigating, inspecting visible or interactive page state, clicking, typing, screenshots, and local web testing. It can have existing signed-in sessions. For semantic operations on linked resources, prefer a purpose-built connector, API, or CLI when available.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Bundled plugin","C:/Users/dasil/.codex/plugins/cache/openai-bundled/browser/26.825.51511/skills/control-in-app-browser/SKILL.md"
"browserbase-tool-automation","Automate Browserbase Tool tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/browserbase-tool-automation/SKILL.md"
"browserhub-automation","Automate Browserhub tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/browserhub-automation/SKILL.md"
"browserless-automation","Automate Browserless tasks via Rube MCP (Composio). Always search tools first for current schemas.","Strong","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/browserless-automation/SKILL.md"
"btcpay-server-automation","Automate Btcpay Server tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/btcpay-server-automation/SKILL.md"
"bubble-automation","Automate Bubble tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bubble-automation/SKILL.md"
"bugbug-automation","Automate Bugbug tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bugbug-automation/SKILL.md"
"bugherd-automation","Automate Bugherd tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bugherd-automation/SKILL.md"
"bugsnag-automation","Automate Bugsnag tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bugsnag-automation/SKILL.md"
"buildkite-automation","Automate Buildkite tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/buildkite-automation/SKILL.md"
"builtwith-automation","Automate Builtwith tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/builtwith-automation/SKILL.md"
"bunnycdn-automation","Automate Bunnycdn tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/bunnycdn-automation/SKILL.md"
"byteforms-automation","Automate Byteforms tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/byteforms-automation/SKILL.md"
"cabinpanda-automation","Automate Cabinpanda tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Files & documents","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/cabinpanda-automation/SKILL.md"
"cal-automation","Automate Cal tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/cal-automation/SKILL.md"
"calendarhero-automation","Automate Calendarhero tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Collaboration & projects","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/calendarhero-automation/SKILL.md"
"calibrate-outlier","Automated runbook for evaluating the historical ledger against actual outcomes, checking ROI/hit rates on highly recommended bets (PLAYS), and running recalibration scripts (fit-blend, fit-stake-calibration) to correct sizing logic if needed.","Direct","Audit settlement depth, CLV, probability calibration, stake calibration, and promotion readiness using the canonical feedback ledger and fail-closed gates.","Outlier pipeline","Follow the skill’s current SKILL.md and Outlier fail-closed contracts.","Outlier repo","C:/Users/dasil/Dev/GitHub/outlier/.agents/skills/calibrate-outlier/SKILL.md"
"callerapi-automation","Automate Callerapi tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Web & extraction","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/callerapi-automation/SKILL.md"
"callingly-automation","Automate Callingly tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/callingly-automation/SKILL.md"
"callpage-automation","Automate Callpage tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Communication","Can communicate externally; verify recipients and content before sending.","Codex skill","C:/Users/dasil/.codex/skills/callpage-automation/SKILL.md"
"campaign-cleaner-automation","Automate Campaign Cleaner tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/campaign-cleaner-automation/SKILL.md"
"campayn-automation","Automate Campayn tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/campayn-automation/SKILL.md"
"canny-automation","Automate Canny tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/canny-automation/SKILL.md"
"canvas-automation","Automate Canvas tasks via Rube MCP (Composio). Always search tools first for current schemas.","Peripheral","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Media & design","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/canvas-automation/SKILL.md"
"canvas-design","Create beautiful visual art in .png and .pdf documents using design philosophy. You should use this skill when the user asks to create a poster, piece of art, design, or other static piece. Create original visual designs, never copying existing artists' work to avoid copyright violations.","Peripheral","Distribute or archive pack reports, prompts, audits, and run receipts. Treat copied documents as derived views, not the source of executable recommendations.","Media & design","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/canvas-design/SKILL.md"
"Capsule CRM Automation","Automate Capsule CRM operations -- manage contacts (parties), run structured filter queries, track tasks and projects, log entries, and handle organizations -- using natural language through the Composio MCP integration.","No direct fit","Track pipeline incidents, PR follow-ups, data-source outages, and manual-review tasks; it coordinates work but does not validate pack correctness.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/capsule-crm-automation/SKILL.md"
"capsule_crm-automation","Automate Capsule CRM tasks via Rube MCP (Composio): contacts, opportunities, cases, tasks, and pipeline management. Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Sales & marketing","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/capsule_crm-automation/SKILL.md"
"carbone-automation","Automate Carbone tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/carbone-automation/SKILL.md"
